review_id,item_id,product_name,rating,review
REV00035,IKEA01020,BRIMNES,4,Beautiful Scandinavian design.
REV00036,IKEA00074,PAX,5,Very good quality and easy to assemble.
REV00037,IKEA00229,BILLY,4,Perfect for a small apartment.
REV00038,IKEA00795,MALM,4,Perfect for a small apartment.
REV00039,IKEA00139,BRIMNES,4,Beautiful Scandinavian design.
REV00040,IKEA00760,HEMNES,4,Excellent product for the price.
REV00041,IKEA00906,BILLY,5,Very good quality and easy to assemble.
REV00042,IKEA01032,HEMNES,5,Excellent product for the price.
REV00043,IKEA00431,KALLAX,5,Very good quality and easy to assemble.
REV00044,IKEA01165,TROFAST,1,Quality was average.
REV00045,IKEA00700,ALEX,5,Looks great in my room.
REV00046,IKEA00360,BESTA,4,Excellent product for the price.
REV00047,IKEA00116,ALEX,4,Excellent product for the price.
REV00048,IKEA00598,EKET,5,Excellent product for the price.
REV00049,IKEA00377,BESTA,5,Looks great in my room.
REV00050,IKEA00899,TROFAST,2,Not completely satisfied.
REV00051,IKEA00143,EKET,5,Beautiful Scandinavian design.
REV00052,IKEA01083,BILLY,4,Excellent product for the price.
REV00053,IKEA00294,MICKE,5,Looks great in my room.
REV00054,IKEA00117,BILLY,3,Overall good product.
REV00055,IKEA00840,MICKE,5,Very good quality and easy to assemble.
REV00056,IKEA00348,ALEX,5,Looks great in my room.
REV00057,IKEA00759,BESTA,2,Assembly instructions could be better.
REV00058,IKEA00479,EKET,1,Assembly instructions could be better.
REV00059,IKEA01153,TROFAST,3,The product is good.
REV00060,IKEA01162,MALM,3,Decent quality for the price.
REV00061,IKEA00073,PAX,5,Very good quality and easy to assemble.
REV00062,IKEA00041,EKET,5,Very useful and practical furniture.
REV00063,IKEA01171,EKET,5,Looks great in my room.
REV00064,IKEA00793,LACK,4,Good quality and durable.
REV00065,IKEA00487,EKET,5,Beautiful Scandinavian design.
REV00066,IKEA00513,MALM,4,Good quality and durable.
REV00067,IKEA00932,MICKE,5,Excellent product for the price.
REV00068,IKEA00931,EKET,5,Looks great in my room.
REV00069,IKEA00459,KALLAX,3,Decent quality for the price.
REV00070,IKEA00796,EKET,5,Excellent product for the price.
REV00071,IKEA00754,MALM,5,Very useful and practical furniture.
REV00072,IKEA00615,BRIMNES,3,The product is good.
REV00073,IKEA00841,TROFAST,5,Beautiful Scandinavian design.
REV00074,IKEA00465,POANG,5,Excellent product for the price.
REV00075,IKEA00723,IVAR,4,Very useful and practical furniture.
REV00076,IKEA00863,MICKE,5,Very useful and practical furniture.
REV00077,IKEA00927,MICKE,4,Very useful and practical furniture.
REV00078,IKEA00950,TROFAST,4,Looks great in my room.
REV00079,IKEA00817,MICKE,3,Size was as expected.
REV00080,IKEA00422,KALLAX,4,Good quality and durable.
REV00081,IKEA00392,POANG,5,Perfect for a small apartment.
REV00082,IKEA00745,IVAR,5,Beautiful Scandinavian design.
REV00083,IKEA00837,LACK,4,Looks great in my room.
REV00084,IKEA00438,IVAR,4,Very useful and practical furniture.
REV00085,IKEA00223,TROFAST,5,Very useful and practical furniture.
REV00086,IKEA00616,MALM,5,Perfect for a small apartment.
REV00087,IKEA00845,LACK,3,Decent quality for the price.
REV00088,IKEA00692,EKET,5,Excellent product for the price.
REV00089,IKEA00788,POANG,5,Very useful and practical furniture.
REV00090,IKEA00370,EKET,5,Very good quality and easy to assemble.
REV00091,IKEA00423,TROFAST,4,Good quality and durable.
REV00092,IKEA00353,BRIMNES,4,Good quality and durable.
REV00093,IKEA01154,POANG,5,Good quality and durable.
REV00094,IKEA00824,IVAR,5,Perfect for a small apartment.
REV00095,IKEA00406,KALLAX,4,Looks great in my room.
REV00096,IKEA00960,KALLAX,4,Good quality and durable.
REV00097,IKEA00268,BRIMNES,5,Very useful and practical furniture.
REV00098,IKEA00648,MALM,5,Perfect for a small apartment.
REV00099,IKEA01087,HEMNES,5,Very good quality and easy to assemble.
REV00100,IKEA00199,HEMNES,5,Very good quality and easy to assemble.
REV00101,IKEA00044,IVAR,1,Assembly instructions could be better.
REV00102,IKEA00679,BRIMNES,5,Looks great in my room.
REV00103,IKEA00731,BRIMNES,4,Excellent product for the price.
REV00104,IKEA00437,ALEX,4,Very good quality and easy to assemble.
REV00105,IKEA00744,MICKE,5,Looks great in my room.
REV00106,IKEA01195,LACK,5,Very useful and practical furniture.
REV00107,IKEA00973,LACK,4,Excellent product for the price.
REV00108,IKEA00594,BRIMNES,4,Perfect for a small apartment.
REV00109,IKEA01151,BRIMNES,4,Excellent product for the price.
REV00110,IKEA00335,LACK,4,Beautiful Scandinavian design.
REV00111,IKEA00840,MICKE,4,Beautiful Scandinavian design.
REV00112,IKEA00962,POANG,5,Looks great in my room.
REV00113,IKEA00511,MICKE,5,Good quality and durable.
REV00114,IKEA00301,LACK,5,Very good quality and easy to assemble.
REV00115,IKEA00081,BESTA,3,The product is good.
REV00116,IKEA00969,POANG,4,Excellent product for the price.
REV00117,IKEA00041,EKET,5,Perfect for a small apartment.
REV00118,IKEA00743,POANG,5,Beautiful Scandinavian design.
REV00119,IKEA01172,ALEX,4,Very good quality and easy to assemble.
REV00120,IKEA01008,MALM,5,Beautiful Scandinavian design.
REV00121,IKEA00705,BRIMNES,5,Very good quality and easy to assemble.
REV00122,IKEA00758,POANG,3,Decent quality for the price.
REV00123,IKEA00615,BRIMNES,5,Excellent product for the price.
REV00124,IKEA00228,EKET,5,Perfect for a small apartment.
REV00125,IKEA00404,BILLY,5,Looks great in my room.
REV00126,IKEA00599,MALM,5,Perfect for a small apartment.
REV00127,IKEA00171,HEMNES,4,Perfect for a small apartment.
REV00128,IKEA01014,PAX,1,Product was smaller than expected.
REV00129,IKEA00856,MICKE,5,Looks great in my room.
REV00130,IKEA00518,BRIMNES,4,Looks great in my room.
REV00131,IKEA01066,MICKE,5,Very good quality and easy to assemble.
REV00132,IKEA01003,EKET,4,Excellent product for the price.
REV00133,IKEA00107,TROFAST,5,Good quality and durable.
REV00134,IKEA00628,PAX,4,Very useful and practical furniture.
REV00135,IKEA00692,EKET,2,Not completely satisfied.
REV00136,IKEA00165,EKET,4,Very good quality and easy to assemble.
REV00137,IKEA00268,BRIMNES,5,Beautiful Scandinavian design.
REV00138,IKEA00022,HEMNES,5,Very good quality and easy to assemble.
REV00139,IKEA00620,PAX,4,Very useful and practical furniture.
REV00140,IKEA00779,BRIMNES,4,Good quality and durable.
REV00141,IKEA00554,POANG,5,Looks great in my room.
REV00142,IKEA00752,MALM,5,Perfect for a small apartment.
REV00143,IKEA00870,BILLY,4,Looks great in my room.
REV00144,IKEA00272,LACK,5,Good quality and durable.
REV00145,IKEA00536,IVAR,5,Very useful and practical furniture.
REV00146,IKEA00577,KALLAX,4,Very useful and practical furniture.
REV00147,IKEA00174,BRIMNES,5,Looks great in my room.
REV00148,IKEA01043,POANG,5,Very good quality and easy to assemble.
REV00149,IKEA00264,PAX,5,Very good quality and easy to assemble.
REV00150,IKEA00498,BESTA,3,Assembly takes some time.
REV00151,IKEA00134,BESTA,4,Perfect for a small apartment.
REV00152,IKEA00486,POANG,5,Perfect for a small apartment.
REV00153,IKEA00155,POANG,1,Assembly instructions could be better.
REV00154,IKEA00699,LACK,5,Beautiful Scandinavian design.
REV00155,IKEA00145,BRIMNES,4,Good quality and durable.
REV00156,IKEA00944,EKET,5,Looks great in my room.
REV00157,IKEA00217,BESTA,5,Very good quality and easy to assemble.
REV00158,IKEA00285,BRIMNES,4,Good quality and durable.
REV00159,IKEA00167,LACK,4,Good quality and durable.
REV00160,IKEA00188,KALLAX,1,Quality was average.
REV00161,IKEA00431,KALLAX,2,Assembly instructions could be better.
REV00162,IKEA00793,LACK,4,Beautiful Scandinavian design.
REV00163,IKEA00395,LACK,5,Excellent product for the price.
REV00164,IKEA01015,PAX,5,Excellent product for the price.
REV00165,IKEA00961,BESTA,4,Good quality and durable.
REV00166,IKEA00126,ALEX,4,Beautiful Scandinavian design.
REV00167,IKEA00013,MALM,3,Decent quality for the price.
REV00168,IKEA00540,BRIMNES,3,Size was as expected.
REV00169,IKEA01179,BESTA,5,Good quality and durable.
REV00170,IKEA00254,KALLAX,5,Very good quality and easy to assemble.
REV00171,IKEA00386,BILLY,4,Looks great in my room.
REV00172,IKEA00467,MALM,4,Good quality and durable.
REV00173,IKEA00608,BESTA,5,Beautiful Scandinavian design.
REV00174,IKEA00585,MICKE,4,Looks great in my room.
REV00175,IKEA00707,ALEX,5,Beautiful Scandinavian design.
REV00176,IKEA00015,POANG,5,Good quality and durable.
REV00177,IKEA00516,KALLAX,4,Excellent product for the price.
REV00178,IKEA00133,HEMNES,3,The product is good.
REV00179,IKEA00705,BRIMNES,5,Very good quality and easy to assemble.
REV00180,IKEA00881,EKET,3,The product is good.
REV00181,IKEA00025,EKET,5,Good quality and durable.
REV00182,IKEA00181,TROFAST,4,Perfect for a small apartment.
REV00183,IKEA00741,MALM,5,Beautiful Scandinavian design.
REV00184,IKEA00135,EKET,5,Good quality and durable.
REV00185,IKEA00654,BILLY,5,Good quality and durable.
REV00186,IKEA00984,BILLY,4,Looks great in my room.
REV00187,IKEA01002,MALM,4,Good quality and durable.
REV00188,IKEA00390,TROFAST,4,Excellent product for the price.
REV00189,IKEA00088,LACK,5,Very useful and practical furniture.
REV00190,IKEA00953,KALLAX,5,Looks great in my room.
REV00191,IKEA00826,KALLAX,5,Very useful and practical furniture.
REV00192,IKEA00927,MICKE,4,Good quality and durable.
REV00193,IKEA00790,ALEX,4,Very good quality and easy to assemble.
REV00194,IKEA00286,EKET,5,Very useful and practical furniture.
REV00195,IKEA00306,MICKE,4,Very good quality and easy to assemble.
REV00196,IKEA00890,POANG,5,Good quality and durable.
REV00197,IKEA00354,ALEX,4,Excellent product for the price.
REV00198,IKEA00445,POANG,3,The product is good.
REV00199,IKEA00968,BILLY,3,Assembly takes some time.
REV00200,IKEA00406,KALLAX,2,Not completely satisfied.
REV00201,IKEA00325,LACK,4,Perfect for a small apartment.
REV00202,IKEA01126,EKET,4,Excellent product for the price.
REV00203,IKEA00997,PAX,5,Very useful and practical furniture.
REV00204,IKEA00887,TROFAST,4,Perfect for a small apartment.
REV00205,IKEA00328,HEMNES,5,Good quality and durable.
REV00206,IKEA00123,MICKE,4,Very good quality and easy to assemble.
REV00207,IKEA00138,BILLY,5,Good quality and durable.
REV00208,IKEA00977,MICKE,5,Excellent product for the price.
REV00209,IKEA00482,MALM,5,Very useful and practical furniture.
REV00210,IKEA00444,ALEX,4,Very good quality and easy to assemble.
REV00211,IKEA00631,POANG,5,Looks great in my room.
REV00212,IKEA00637,BRIMNES,5,Very useful and practical furniture.
REV00213,IKEA00250,BESTA,5,Beautiful Scandinavian design.
REV00214,IKEA00578,MALM,4,Looks great in my room.
REV00215,IKEA00263,KALLAX,4,Very useful and practical furniture.
REV00216,IKEA00130,LACK,1,Some parts were difficult to assemble.
REV00217,IKEA00855,BESTA,4,Looks great in my room.
REV00218,IKEA00479,EKET,5,Looks great in my room.
REV00219,IKEA00976,TROFAST,5,Beautiful Scandinavian design.
REV00220,IKEA00698,BESTA,5,Looks great in my room.
REV00221,IKEA00399,MICKE,5,Looks great in my room.
REV00222,IKEA01173,HEMNES,5,Excellent product for the price.
REV00223,IKEA00486,POANG,5,Excellent product for the price.
REV00224,IKEA01001,TROFAST,5,Very good quality and easy to assemble.
REV00225,IKEA00642,KALLAX,5,Very good quality and easy to assemble.
REV00226,IKEA00787,TROFAST,5,Beautiful Scandinavian design.
REV00227,IKEA00659,TROFAST,3,The product is good.
REV00228,IKEA00948,BILLY,5,Good quality and durable.
REV00229,IKEA00545,IVAR,3,The product is good.
REV00230,IKEA00396,POANG,5,Looks great in my room.
REV00231,IKEA00294,MICKE,4,Perfect for a small apartment.
REV00232,IKEA00121,LACK,5,Excellent product for the price.
REV00233,IKEA00007,MALM,4,Perfect for a small apartment.
REV00234,IKEA00989,BESTA,5,Perfect for a small apartment.
REV00235,IKEA00559,BILLY,5,Very useful and practical furniture.
REV00236,IKEA00644,MICKE,5,Beautiful Scandinavian design.
REV00237,IKEA00410,BRIMNES,5,Good quality and durable.
REV00238,IKEA00386,BILLY,5,Beautiful Scandinavian design.
REV00239,IKEA00247,IVAR,4,Very good quality and easy to assemble.
REV00240,IKEA00400,PAX,5,Beautiful Scandinavian design.
REV00241,IKEA00579,BESTA,4,Very useful and practical furniture.
REV00242,IKEA00867,BILLY,5,Perfect for a small apartment.
REV00243,IKEA00023,BILLY,4,Excellent product for the price.
REV00244,IKEA00296,PAX,4,Very good quality and easy to assemble.
REV00245,IKEA00864,IVAR,3,The product is good.
REV00246,IKEA00303,KALLAX,4,Very useful and practical furniture.
REV00247,IKEA01138,HEMNES,4,Very useful and practical furniture.
REV00248,IKEA00644,MICKE,3,Assembly takes some time.
REV00249,IKEA00934,BRIMNES,4,Good quality and durable.
REV00250,IKEA00929,ALEX,4,Beautiful Scandinavian design.
REV00251,IKEA00264,PAX,4,Very good quality and easy to assemble.
REV00252,IKEA00254,KALLAX,3,Assembly takes some time.
REV00253,IKEA01132,LACK,5,Excellent product for the price.
REV00254,IKEA00646,IVAR,5,Very useful and practical furniture.
REV00255,IKEA01127,MICKE,2,Not completely satisfied.
REV00256,IKEA00664,HEMNES,4,Looks great in my room.
REV00257,IKEA00071,BILLY,5,Looks great in my room.
REV00258,IKEA01159,MICKE,5,Very good quality and easy to assemble.
REV00259,IKEA01048,BRIMNES,3,Decent quality for the price.
REV00260,IKEA01018,HEMNES,3,Overall good product.
REV00261,IKEA00287,KALLAX,4,Beautiful Scandinavian design.
REV00262,IKEA00335,LACK,5,Excellent product for the price.
REV00263,IKEA00189,PAX,5,Looks great in my room.
REV00264,IKEA00693,MICKE,3,Assembly takes some time.
REV00265,IKEA00143,EKET,5,Beautiful Scandinavian design.
REV00266,IKEA00128,EKET,5,Good quality and durable.
REV00267,IKEA00811,MALM,5,Beautiful Scandinavian design.
REV00268,IKEA00184,TROFAST,5,Very useful and practical furniture.
REV00269,IKEA00326,BILLY,3,Assembly takes some time.
REV00270,IKEA00466,MICKE,4,Good quality and durable.
REV00271,IKEA01143,HEMNES,2,Quality was average.
REV00272,IKEA00981,MICKE,2,Quality was average.
REV00273,IKEA00477,EKET,5,Perfect for a small apartment.
REV00274,IKEA00282,BRIMNES,5,Looks great in my room.
REV00275,IKEA00794,POANG,5,Good quality and durable.
REV00276,IKEA00811,MALM,1,Some parts were difficult to assemble.
REV00277,IKEA01009,LACK,2,Not completely satisfied.
REV00278,IKEA01127,MICKE,3,Decent quality for the price.
REV00279,IKEA00074,PAX,4,Beautiful Scandinavian design.
REV00280,IKEA01007,HEMNES,1,Assembly instructions could be better.
REV00281,IKEA01192,ALEX,5,Beautiful Scandinavian design.
REV00282,IKEA00337,IVAR,4,Excellent product for the price.
REV00283,IKEA01099,MALM,1,Product was smaller than expected.
REV00284,IKEA00577,KALLAX,4,Looks great in my room.
REV00285,IKEA01047,BRIMNES,4,Perfect for a small apartment.
REV00286,IKEA00413,POANG,5,Looks great in my room.
REV00287,IKEA00686,KALLAX,4,Looks great in my room.
REV00288,IKEA00805,PAX,3,Assembly takes some time.
REV00289,IKEA00925,EKET,2,Product was smaller than expected.
REV00290,IKEA01049,HEMNES,5,Excellent product for the price.
REV00291,IKEA00379,MICKE,3,The product is good.
REV00292,IKEA00219,BESTA,5,Perfect for a small apartment.
REV00293,IKEA00422,KALLAX,4,Beautiful Scandinavian design.
REV00294,IKEA00612,BRIMNES,5,Good quality and durable.
REV00295,IKEA00439,ALEX,5,Perfect for a small apartment.
REV00296,IKEA00622,HEMNES,4,Very good quality and easy to assemble.
REV00297,IKEA00471,EKET,5,Perfect for a small apartment.
REV00298,IKEA00517,POANG,4,Very good quality and easy to assemble.
REV00299,IKEA00635,HEMNES,1,Quality was average.
REV00300,IKEA00684,EKET,4,Good quality and durable.
REV00301,IKEA00796,EKET,5,Very useful and practical furniture.
REV00302,IKEA00801,ALEX,5,Excellent product for the price.
REV00303,IKEA01007,HEMNES,5,Beautiful Scandinavian design.
REV00304,IKEA00585,MICKE,5,Good quality and durable.
REV00305,IKEA00509,MALM,3,Overall good product.
REV00306,IKEA00001,ALEX,5,Beautiful Scandinavian design.
REV00307,IKEA00103,EKET,5,Looks great in my room.
REV00308,IKEA00001,ALEX,4,Very useful and practical furniture.
REV00309,IKEA01164,MICKE,5,Very good quality and easy to assemble.
REV00310,IKEA00110,ALEX,4,Good quality and durable.
REV00311,IKEA00391,LACK,5,Good quality and durable.
REV00312,IKEA00764,HEMNES,3,The product is good.
REV00313,IKEA00046,BESTA,4,Very good quality and easy to assemble.
REV00314,IKEA00246,LACK,4,Looks great in my room.
REV00315,IKEA00936,EKET,5,Perfect for a small apartment.
REV00316,IKEA00420,MICKE,3,Overall good product.
REV00317,IKEA00976,TROFAST,4,Very good quality and easy to assemble.
REV00318,IKEA00177,IVAR,5,Very useful and practical furniture.
REV00319,IKEA01188,POANG,5,Looks great in my room.
REV00320,IKEA00554,POANG,2,Product was smaller than expected.
REV00321,IKEA00983,BRIMNES,3,Decent quality for the price.
REV00322,IKEA00442,BRIMNES,3,The product is good.
REV00323,IKEA00062,HEMNES,2,Not completely satisfied.
REV00324,IKEA00954,ALEX,4,Very good quality and easy to assemble.
REV00325,IKEA01182,TROFAST,5,Good quality and durable.
REV00326,IKEA00130,LACK,5,Looks great in my room.
REV00327,IKEA00577,KALLAX,5,Excellent product for the price.
REV00328,IKEA00548,BILLY,2,Some parts were difficult to assemble.
REV00329,IKEA00386,BILLY,4,Very useful and practical furniture.
REV00330,IKEA00004,BESTA,5,Very good quality and easy to assemble.
REV00331,IKEA01154,POANG,5,Very useful and practical furniture.
REV00332,IKEA01145,ALEX,5,Very useful and practical furniture.
REV00333,IKEA00475,BILLY,5,Good quality and durable.
REV00334,IKEA00097,HEMNES,4,Very good quality and easy to assemble.
REV00335,IKEA00753,MALM,5,Very useful and practical furniture.
REV00336,IKEA01116,TROFAST,4,Good quality and durable.
REV00337,IKEA00761,PAX,5,Beautiful Scandinavian design.
REV00338,IKEA00299,MICKE,4,Good quality and durable.
REV00339,IKEA00711,POANG,4,Beautiful Scandinavian design.
REV00340,IKEA00823,IVAR,4,Looks great in my room.
REV00341,IKEA00599,MALM,3,The product is good.
REV00342,IKEA01111,BESTA,4,Very useful and practical furniture.
REV00343,IKEA00178,MICKE,5,Excellent product for the price.
REV00344,IKEA00682,BESTA,5,Good quality and durable.
REV00345,IKEA00956,EKET,5,Beautiful Scandinavian design.
REV00346,IKEA00337,IVAR,5,Looks great in my room.
REV00347,IKEA01038,BRIMNES,5,Good quality and durable.
REV00348,IKEA00298,PAX,5,Beautiful Scandinavian design.
REV00349,IKEA00327,POANG,5,Beautiful Scandinavian design.
REV00350,IKEA00286,EKET,5,Perfect for a small apartment.
REV00351,IKEA00422,KALLAX,5,Very useful and practical furniture.
REV00352,IKEA00168,BRIMNES,5,Very good quality and easy to assemble.
REV00353,IKEA01027,ALEX,5,Beautiful Scandinavian design.
REV00354,IKEA00213,POANG,5,Looks great in my room.
REV00355,IKEA01128,MALM,5,Excellent product for the price.
REV00356,IKEA00465,POANG,5,Perfect for a small apartment.
REV00357,IKEA00686,KALLAX,5,Looks great in my room.
REV00358,IKEA00765,IVAR,5,Very useful and practical furniture.
REV00359,IKEA01072,MALM,5,Very useful and practical furniture.
REV00360,IKEA00449,HEMNES,5,Good quality and durable.
REV00361,IKEA00836,LACK,5,Very good quality and easy to assemble.
REV00362,IKEA00463,LACK,5,Very useful and practical furniture.
REV00363,IKEA00319,EKET,5,Perfect for a small apartment.
REV00364,IKEA00386,BILLY,5,Perfect for a small apartment.
REV00365,IKEA01034,MICKE,5,Very useful and practical furniture.
REV00366,IKEA00296,PAX,5,Good quality and durable.
REV00367,IKEA00628,PAX,4,Very useful and practical furniture.
REV00368,IKEA00621,POANG,5,Beautiful Scandinavian design.
REV00369,IKEA00198,KALLAX,5,Excellent product for the price.
REV00370,IKEA00049,MALM,1,Some parts were difficult to assemble.
REV00371,IKEA00248,BILLY,4,Perfect for a small apartment.
REV00372,IKEA00147,POANG,3,The product is good.
REV00373,IKEA00244,TROFAST,4,Looks great in my room.
REV00374,IKEA00826,KALLAX,1,Product was smaller than expected.
REV00375,IKEA00615,BRIMNES,4,Looks great in my room.
REV00376,IKEA00427,BRIMNES,4,Beautiful Scandinavian design.
REV00377,IKEA00980,ALEX,5,Beautiful Scandinavian design.
REV00378,IKEA00086,EKET,5,Very good quality and easy to assemble.
REV00379,IKEA01024,BESTA,4,Very good quality and easy to assemble.
REV00380,IKEA00524,IVAR,5,Perfect for a small apartment.
REV00381,IKEA00786,IVAR,5,Perfect for a small apartment.
REV00382,IKEA00201,HEMNES,4,Beautiful Scandinavian design.
REV00383,IKEA00719,MICKE,5,Good quality and durable.
REV00384,IKEA01005,BILLY,5,Very useful and practical furniture.
REV00385,IKEA00080,IVAR,5,Perfect for a small apartment.
REV00386,IKEA00178,MICKE,5,Beautiful Scandinavian design.
REV00387,IKEA00189,PAX,3,Overall good product.
REV00388,IKEA00932,MICKE,4,Looks great in my room.
REV00389,IKEA00495,MICKE,5,Very useful and practical furniture.
REV00390,IKEA00071,BILLY,4,Beautiful Scandinavian design.
REV00391,IKEA00925,EKET,4,Very useful and practical furniture.
REV00392,IKEA00195,ALEX,1,Quality was average.
REV00393,IKEA00058,POANG,5,Very useful and practical furniture.
REV00394,IKEA00142,TROFAST,5,Very useful and practical furniture.
REV00395,IKEA00563,HEMNES,5,Very useful and practical furniture.
REV00396,IKEA01098,BRIMNES,5,Very good quality and easy to assemble.
REV00397,IKEA00519,EKET,5,Good quality and durable.
REV00398,IKEA01059,MALM,5,Very useful and practical furniture.
REV00399,IKEA00601,BILLY,5,Very good quality and easy to assemble.
REV00400,IKEA00595,HEMNES,5,Very useful and practical furniture.
REV00401,IKEA00225,ALEX,5,Perfect for a small apartment.
REV00402,IKEA00158,EKET,4,Very useful and practical furniture.
REV00403,IKEA00511,MICKE,1,Quality was average.
REV00404,IKEA00772,BRIMNES,2,Quality was average.
REV00405,IKEA00458,KALLAX,4,Good quality and durable.
REV00406,IKEA01196,BESTA,5,Excellent product for the price.
REV00407,IKEA00911,EKET,5,Very good quality and easy to assemble.
REV00408,IKEA00208,ALEX,4,Excellent product for the price.
REV00409,IKEA01153,TROFAST,2,Not completely satisfied.
REV00410,IKEA00751,EKET,5,Very useful and practical furniture.
REV00411,IKEA00043,ALEX,5,Good quality and durable.
REV00412,IKEA00755,HEMNES,5,Very good quality and easy to assemble.
REV00413,IKEA00858,BILLY,5,Looks great in my room.
REV00414,IKEA00894,MICKE,5,Very useful and practical furniture.
REV00415,IKEA00138,BILLY,3,Assembly takes some time.
REV00416,IKEA00733,EKET,5,Beautiful Scandinavian design.
REV00417,IKEA00499,MICKE,5,Excellent product for the price.
REV00418,IKEA00248,BILLY,2,Assembly instructions could be better.
REV00419,IKEA01169,TROFAST,4,Excellent product for the price.
REV00420,IKEA00914,MALM,5,Beautiful Scandinavian design.
REV00421,IKEA00765,IVAR,5,Very useful and practical furniture.
REV00422,IKEA00137,HEMNES,5,Good quality and durable.
REV00423,IKEA00380,MICKE,5,Very good quality and easy to assemble.
REV00424,IKEA01147,TROFAST,2,Quality was average.
REV00425,IKEA00302,POANG,4,Good quality and durable.
REV00426,IKEA00801,ALEX,1,Assembly instructions could be better.
REV00427,IKEA01045,BESTA,5,Very good quality and easy to assemble.
REV00428,IKEA01075,ALEX,5,Beautiful Scandinavian design.
REV00429,IKEA01087,HEMNES,1,Quality was average.
REV00430,IKEA00655,TROFAST,5,Perfect for a small apartment.
REV00431,IKEA00984,BILLY,5,Excellent product for the price.
REV00432,IKEA00973,LACK,5,Excellent product for the price.
REV00433,IKEA00203,TROFAST,4,Beautiful Scandinavian design.
REV00434,IKEA01109,PAX,5,Very good quality and easy to assemble.
REV00435,IKEA00300,ALEX,5,Perfect for a small apartment.
REV00436,IKEA01045,BESTA,3,Overall good product.
REV00437,IKEA00979,MALM,5,Very good quality and easy to assemble.
REV00438,IKEA01160,POANG,4,Good quality and durable.
REV00439,IKEA00847,BRIMNES,5,Looks great in my room.
REV00440,IKEA00462,MICKE,5,Very useful and practical furniture.
REV00441,IKEA00123,MICKE,5,Very good quality and easy to assemble.
REV00442,IKEA00657,BRIMNES,5,Very good quality and easy to assemble.
REV00443,IKEA00395,LACK,5,Looks great in my room.
REV00444,IKEA00801,ALEX,4,Perfect for a small apartment.
REV00445,IKEA00461,MICKE,5,Excellent product for the price.
REV00446,IKEA00982,EKET,5,Perfect for a small apartment.
REV00447,IKEA01044,BILLY,5,Good quality and durable.
REV00448,IKEA00323,EKET,4,Beautiful Scandinavian design.
REV00449,IKEA00590,BILLY,5,Very good quality and easy to assemble.
REV00450,IKEA00887,TROFAST,5,Very useful and practical furniture.
REV00451,IKEA00136,HEMNES,5,Good quality and durable.
REV00452,IKEA00299,MICKE,5,Very good quality and easy to assemble.
REV00453,IKEA00757,ALEX,4,Looks great in my room.
REV00454,IKEA00952,POANG,5,Looks great in my room.
REV00455,IKEA00622,HEMNES,5,Beautiful Scandinavian design.
REV00456,IKEA00670,HEMNES,5,Perfect for a small apartment.
REV00457,IKEA00963,POANG,5,Very useful and practical furniture.
REV00458,IKEA01148,EKET,5,Beautiful Scandinavian design.
REV00459,IKEA01176,EKET,3,Assembly takes some time.
REV00460,IKEA00187,TROFAST,5,Looks great in my room.
REV00461,IKEA01092,HEMNES,5,Good quality and durable.
REV00462,IKEA00129,MALM,4,Looks great in my room.
REV00463,IKEA00556,POANG,5,Beautiful Scandinavian design.
REV00464,IKEA01052,IVAR,4,Looks great in my room.
REV00465,IKEA00491,EKET,5,Looks great in my room.
