item_id,name,category,price,short_description,designer,depth,height,width,other_colors,sellable_online,rating,reviews_count
IKEA00069,LACK,Table,5178,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,59,182,175,"Grey, Oak, White",False,4.4,363
IKEA00070,PAX,Bed,33297,Affordable and stylish furniture for everyday use.,Monika Mulder,76,50,183,"White, Oak, Beige",True,4.2,18
IKEA00071,BILLY,Desk,44689,Simple design with clean Scandinavian lines.,Ola Wihlborg,95,35,98,"White, Blue, Black",False,4.0,231
IKEA00072,LACK,Table,38859,Minimalist design suitable for modern homes.,Monika Mulder,31,150,119,"Blue, Brown, Green",True,4.7,173
IKEA00073,PAX,Storage,19387,Space-saving furniture with easy assembly.,Monika Mulder,90,39,146,"Black, Brown, Blue",True,3.2,400
IKEA00074,PAX,Cabinet,574,Space-saving furniture with easy assembly.,Ola Wihlborg,79,135,43,"Oak, Grey, Brown",False,4.3,394
IKEA00075,KALLAX,Desk,18000,Affordable and stylish furniture for everyday use.,Jon Karlsson,56,142,154,"Black, White, Beige",True,4.4,164
IKEA00076,MICKE,Sofa,36691,Minimalist design suitable for modern homes.,IKEA Design Team,48,59,148,"Black, Beige, Green",False,4.9,154
IKEA00077,MICKE,Bed,27728,Simple design with clean Scandinavian lines.,Monika Mulder,80,92,146,"Brown, Oak, Black",True,4.7,146
IKEA00078,TROFAST,Bookshelf,22773,Simple design with clean Scandinavian lines.,Ola Wihlborg,54,30,102,"Grey, Blue, Green",False,4.7,233
IKEA00079,MICKE,Storage,23117,Durable furniture with practical storage space.,Ola Wihlborg,89,126,146,"Beige, Blue, Black",True,4.1,124
IKEA00080,IVAR,Bookshelf,3359,Durable furniture with practical storage space.,Monika Mulder,68,128,199,"Brown, Oak, White",True,4.0,307
IKEA00081,BESTA,Chair,29354,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,78,33,66,"Blue, Green, Beige",True,3.1,405
IKEA00082,LACK,Wardrobe,41344,Space-saving furniture with easy assembly.,Monika Mulder,30,114,166,"Blue, Brown, Beige",False,4.7,23
IKEA00083,POANG,Chair,15884,Space-saving furniture with easy assembly.,Henrik Preutz,49,53,141,"Black, Blue, Beige",True,3.9,360
IKEA00084,LACK,Sofa,3513,Durable furniture with practical storage space.,IKEA Design Team,57,121,125,"Blue, Black, Green",False,4.1,410
IKEA00085,MALM,Table,11972,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,68,188,91,"Green, Grey, Black",True,3.9,135
IKEA00086,EKET,Bed,44201,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,56,203,169,"Brown, White, Oak",True,5.0,158
IKEA00087,ALEX,Bookshelf,45739,Durable furniture with practical storage space.,Monika Mulder,58,80,128,"Green, White, Black",False,4.1,299
IKEA00088,LACK,Bed,1936,Simple design with clean Scandinavian lines.,Monika Mulder,55,32,174,"White, Grey, Beige",False,4.7,467
IKEA00089,LACK,Desk,40283,Simple design with clean Scandinavian lines.,Henrik Preutz,48,192,78,"Grey, Beige, Blue",True,4.3,467
IKEA00090,ALEX,Dining Furniture,3082,Durable furniture with practical storage space.,Monika Mulder,24,178,123,"Brown, White, Green",True,4.5,94
IKEA00091,HEMNES,Table,35849,Durable furniture with practical storage space.,Ola Wihlborg,84,99,72,"Grey, Blue, Oak",True,4.5,178
IKEA00092,TROFAST,Chair,31191,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,48,203,131,"Beige, White, Oak",True,3.5,68
IKEA00093,EKET,Wardrobe,44593,Space-saving furniture with easy assembly.,Henrik Preutz,94,127,193,"Beige, White, Green",True,3.9,322
IKEA00094,MICKE,Wardrobe,40481,Compact furniture suitable for small apartments.,IKEA Design Team,79,209,107,"Blue, White, Black",True,4.9,160
IKEA00095,EKET,Chair,6868,Compact furniture suitable for small apartments.,Ola Wihlborg,37,129,146,"Beige, Green, Blue",False,4.2,377
IKEA00096,MALM,Bookshelf,43419,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,98,134,101,"White, Beige, Brown",True,3.9,491
IKEA00097,HEMNES,Wardrobe,7010,Space-saving furniture with easy assembly.,Henrik Preutz,89,195,121,"White, Oak, Brown",True,4.9,490
IKEA00098,IVAR,Storage,6506,Space-saving furniture with easy assembly.,Jon Karlsson,96,35,42,"Beige, Black, Blue",True,3.1,396
IKEA00099,MICKE,Desk,38928,Compact furniture suitable for small apartments.,Jon Karlsson,62,67,182,"White, Brown, Black",True,4.1,413
IKEA00100,MALM,Chair,43822,Simple design with clean Scandinavian lines.,IKEA Design Team,36,33,121,"Oak, Grey, Brown",True,3.3,31
IKEA00101,MALM,Bookshelf,34976,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,80,144,122,"Black, Oak, Grey",True,4.9,27
IKEA00102,BRIMNES,Dining Furniture,34672,Durable furniture with practical storage space.,Monika Mulder,23,45,152,"Blue, Oak, Beige",True,4.0,470
IKEA00103,EKET,Chair,5793,Durable furniture with practical storage space.,Ola Wihlborg,38,46,62,"Grey, Green, Beige",True,3.8,310
IKEA00104,MICKE,Bed,30233,Affordable and stylish furniture for everyday use.,Ola Wihlborg,75,55,59,"Oak, Green, Blue",True,3.8,428
IKEA00105,EKET,Bookshelf,27761,Space-saving furniture with easy assembly.,IKEA Design Team,60,139,110,"Grey, Brown, Black",False,3.1,430
IKEA00106,BILLY,Chair,28802,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,36,172,45,"Beige, Green, White",False,3.7,345
IKEA00107,TROFAST,Bookshelf,47754,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,96,109,120,"Black, Grey, Blue",True,3.3,251
IKEA00108,HEMNES,Chair,23444,Simple design with clean Scandinavian lines.,Ola Wihlborg,67,59,101,"Oak, Blue, Green",True,4.2,341
IKEA00109,IVAR,Bed,2396,Compact furniture suitable for small apartments.,Henrik Preutz,59,116,119,"White, Black, Blue",False,3.1,384
IKEA00110,ALEX,Sofa,6512,Space-saving furniture with easy assembly.,Ola Wihlborg,47,126,137,"Green, Brown, Black",True,3.6,171
IKEA00111,TROFAST,TV Unit,39573,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,39,70,188,"White, Beige, Green",True,3.9,222
IKEA00112,EKET,TV Unit,29468,Minimalist design suitable for modern homes.,Henrik Preutz,47,161,59,"Beige, Oak, White",True,4.4,308
IKEA00113,EKET,Cabinet,44220,Durable furniture with practical storage space.,IKEA Design Team,48,131,183,"White, Green, Black",True,4.9,397
IKEA00114,MALM,Bed,19468,Durable furniture with practical storage space.,IKEA Design Team,20,157,140,"Brown, Black, Oak",True,4.0,431
IKEA00115,ALEX,Wardrobe,5222,Minimalist design suitable for modern homes.,IKEA Design Team,75,34,147,"Black, Blue, Brown",False,4.1,368
IKEA00116,ALEX,Bookshelf,19472,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,22,113,73,"Green, Blue, Beige",True,3.2,437
IKEA00117,BILLY,Desk,29051,Affordable and stylish furniture for everyday use.,Monika Mulder,87,50,131,"Grey, Beige, Brown",True,3.7,91
IKEA00118,BILLY,Cabinet,41998,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,85,79,119,"Beige, Green, Blue",True,3.5,79
IKEA00119,LACK,Desk,11869,Affordable and stylish furniture for everyday use.,Jon Karlsson,29,75,190,"Green, Oak, Grey",False,4.4,456
IKEA00120,POANG,Dining Furniture,42133,Affordable and stylish furniture for everyday use.,Henrik Preutz,100,110,68,"Green, White, Oak",False,4.3,412
IKEA00121,LACK,TV Unit,4180,Durable furniture with practical storage space.,Ola Wihlborg,29,109,148,"Green, White, Blue",True,4.7,44
IKEA00122,ALEX,Chair,40804,Affordable and stylish furniture for everyday use.,Ola Wihlborg,69,148,178,"White, Oak, Grey",True,3.6,248
IKEA00123,MICKE,Table,4553,Minimalist design suitable for modern homes.,IKEA Design Team,63,212,51,"Brown, White, Black",False,5.0,273
IKEA00124,MICKE,TV Unit,10902,Durable furniture with practical storage space.,Henrik Preutz,56,129,134,"Beige, Green, Grey",True,4.6,336
IKEA00125,BESTA,Chair,22105,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,69,102,94,"Brown, Green, White",True,4.8,163
IKEA00126,ALEX,Dining Furniture,26186,Compact furniture suitable for small apartments.,Ola Wihlborg,30,109,173,"Blue, Beige, Brown",True,4.3,429
IKEA00127,BRIMNES,Dining Furniture,34996,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,85,122,34,"Beige, Brown, Black",True,3.7,397
IKEA00128,EKET,Desk,15345,Compact furniture suitable for small apartments.,Jon Karlsson,29,105,55,"White, Beige, Brown",True,4.2,83
IKEA00129,MALM,Table,45905,Simple design with clean Scandinavian lines.,Ola Wihlborg,41,214,142,"White, Oak, Brown",True,4.9,317
IKEA00130,LACK,Storage,15834,Affordable and stylish furniture for everyday use.,Jon Karlsson,59,150,79,"Beige, Green, Grey",False,3.9,149
IKEA00131,TROFAST,Bookshelf,33457,Affordable and stylish furniture for everyday use.,Monika Mulder,40,81,184,"Brown, Blue, Green",True,4.3,452
IKEA00132,BESTA,Cabinet,7222,Space-saving furniture with easy assembly.,Ola Wihlborg,35,102,51,"Brown, Green, Oak",True,4.7,51
IKEA00133,HEMNES,Storage,23409,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,26,131,158,"Beige, Black, Oak",True,3.7,19
IKEA00134,BESTA,Chair,47337,Space-saving furniture with easy assembly.,Henrik Preutz,38,65,39,"Grey, Blue, Oak",True,4.5,245
IKEA00135,EKET,TV Unit,843,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,52,85,68,"Blue, White, Brown",True,3.6,29
IKEA00136,HEMNES,Bookshelf,42373,Simple design with clean Scandinavian lines.,Ola Wihlborg,78,46,58,"Green, Grey, Blue",True,4.3,299
IKEA00137,HEMNES,Table,19587,Minimalist design suitable for modern homes.,IKEA Design Team,98,120,91,"Blue, Black, Beige",True,4.0,189
IKEA00138,BILLY,Cabinet,36155,Affordable and stylish furniture for everyday use.,Ola Wihlborg,90,35,129,"Green, White, Beige",False,5.0,134
IKEA00139,BRIMNES,Sofa,23901,Simple design with clean Scandinavian lines.,IKEA Design Team,64,91,198,"Black, Blue, Grey",True,3.3,185
IKEA00140,MICKE,Wardrobe,42625,Compact furniture suitable for small apartments.,Monika Mulder,81,191,76,"Brown, White, Beige",False,3.1,108
IKEA00141,KALLAX,Desk,3245,Durable furniture with practical storage space.,Henrik Preutz,85,131,169,"Green, Brown, White",True,3.6,446
IKEA00142,TROFAST,Sofa,43473,Durable furniture with practical storage space.,Henrik Preutz,35,124,141,"Blue, Beige, Oak",False,3.7,100
IKEA00143,EKET,Storage,24573,Simple design with clean Scandinavian lines.,Ola Wihlborg,54,51,138,"Black, Oak, Grey",True,4.1,169
IKEA00144,BILLY,Chair,21989,Space-saving furniture with easy assembly.,Henrik Preutz,59,144,184,"Blue, Black, Beige",False,3.7,26
IKEA00145,BRIMNES,Wardrobe,40793,Minimalist design suitable for modern homes.,Henrik Preutz,27,49,193,"Blue, Brown, Grey",True,4.9,78
IKEA00146,IVAR,TV Unit,44938,Simple design with clean Scandinavian lines.,Monika Mulder,24,62,47,"Oak, Blue, Beige",True,3.7,491
IKEA00147,POANG,Sofa,40154,Compact furniture suitable for small apartments.,Monika Mulder,67,125,143,"Black, Grey, Green",True,3.8,337
IKEA00148,LACK,Desk,7933,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,83,162,129,"Black, Brown, Blue",False,3.4,318
IKEA00149,LACK,Storage,13617,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,29,145,74,"Green, White, Beige",True,4.3,368
IKEA00150,BILLY,Cabinet,36030,Durable furniture with practical storage space.,Henrik Preutz,40,212,193,"Brown, Blue, Green",True,3.2,107
IKEA00151,TROFAST,Table,16013,Simple design with clean Scandinavian lines.,Monika Mulder,23,122,171,"Beige, Oak, Grey",True,4.2,49
IKEA00152,BILLY,Bed,26592,Space-saving furniture with easy assembly.,Monika Mulder,87,135,134,"Black, Green, Brown",True,3.9,353
IKEA00153,MICKE,Wardrobe,8909,Simple design with clean Scandinavian lines.,Ola Wihlborg,95,76,63,"Blue, Grey, White",True,4.0,160
IKEA00154,MALM,Table,21644,Space-saving furniture with easy assembly.,Jon Karlsson,64,162,102,"Black, Brown, Green",True,3.3,160
IKEA00155,POANG,Cabinet,6621,Affordable and stylish furniture for everyday use.,Jon Karlsson,95,178,69,"Brown, Beige, Grey",True,4.7,293
IKEA00156,KALLAX,Sofa,5822,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,53,196,83,"Blue, Grey, Beige",True,4.0,326
IKEA00157,MICKE,Bed,42567,Durable furniture with practical storage space.,Monika Mulder,51,205,133,"Grey, Oak, White",True,3.3,217
IKEA00158,EKET,Storage,13869,Durable furniture with practical storage space.,Ola Wihlborg,38,110,111,"Beige, Oak, Black",True,4.0,59
IKEA00159,BESTA,Desk,31069,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,77,93,66,"Black, White, Brown",False,4.7,219
IKEA00160,HEMNES,Table,21957,Affordable and stylish furniture for everyday use.,Henrik Preutz,44,70,157,"Green, Oak, Brown",False,3.0,488
IKEA00161,PAX,Cabinet,30464,Compact furniture suitable for small apartments.,Jon Karlsson,94,120,42,"White, Brown, Oak",False,3.6,9
IKEA00162,IVAR,Chair,28740,Compact furniture suitable for small apartments.,Henrik Preutz,66,133,123,"White, Oak, Green",True,3.7,152
IKEA00163,BILLY,Bookshelf,33545,Minimalist design suitable for modern homes.,Ola Wihlborg,55,189,186,"Black, Green, White",False,3.7,178
IKEA00164,MICKE,Wardrobe,49976,Compact furniture suitable for small apartments.,Jon Karlsson,97,160,132,"White, Green, Blue",True,4.4,416
IKEA00165,EKET,Cabinet,30448,Compact furniture suitable for small apartments.,Ola Wihlborg,85,65,113,"Beige, Black, Oak",True,4.2,264
IKEA00166,IVAR,Cabinet,35386,Minimalist design suitable for modern homes.,Ola Wihlborg,58,151,34,"Beige, Brown, Green",True,5.0,303
IKEA00167,LACK,Dining Furniture,2245,Affordable and stylish furniture for everyday use.,Monika Mulder,53,197,178,"Oak, Beige, White",False,3.3,327
IKEA00168,BRIMNES,TV Unit,25415,Compact furniture suitable for small apartments.,Jon Karlsson,24,176,58,"Oak, White, Green",True,3.8,216
IKEA00169,BRIMNES,Desk,27393,Affordable and stylish furniture for everyday use.,Ola Wihlborg,80,218,45,"Brown, Grey, Black",True,5.0,249
IKEA00170,MICKE,Bookshelf,21061,Compact furniture suitable for small apartments.,Monika Mulder,88,117,169,"Beige, Green, Blue",True,4.2,103
IKEA00171,HEMNES,Bed,37073,Durable furniture with practical storage space.,Jon Karlsson,58,103,83,"Green, Brown, Oak",True,4.1,483
IKEA00172,TROFAST,Bed,19359,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,89,127,131,"Beige, Blue, Black",True,3.1,494
IKEA00173,BRIMNES,Chair,23198,Minimalist design suitable for modern homes.,Henrik Preutz,81,84,81,"Grey, Green, Beige",True,3.3,320
IKEA00174,BRIMNES,TV Unit,16180,Compact furniture suitable for small apartments.,IKEA Design Team,87,87,193,"Oak, White, Blue",False,3.7,246
IKEA00175,BILLY,Dining Furniture,9508,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,40,134,197,"Green, Oak, Beige",True,4.5,152
IKEA00176,BESTA,Bed,42828,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,93,89,166,"White, Black, Oak",True,4.9,23
IKEA00177,IVAR,Bookshelf,32964,Compact furniture suitable for small apartments.,Henrik Preutz,24,32,106,"Black, Brown, Blue",False,5.0,283
IKEA00178,MICKE,Storage,9293,Simple design with clean Scandinavian lines.,Ola Wihlborg,79,99,79,"Black, Brown, Green",False,4.3,372
IKEA00179,MALM,Sofa,48773,Durable furniture with practical storage space.,Henrik Preutz,92,202,79,"Brown, Grey, Beige",False,4.7,268
IKEA00180,BESTA,Chair,26768,Space-saving furniture with easy assembly.,IKEA Design Team,43,65,152,"Beige, Black, White",True,3.8,233
IKEA00181,TROFAST,Bed,22101,Durable furniture with practical storage space.,Ola Wihlborg,93,32,96,"Beige, Green, Black",True,4.3,243
IKEA00182,LACK,Table,27068,Space-saving furniture with easy assembly.,Ola Wihlborg,59,206,60,"Grey, Brown, Green",True,3.4,73
IKEA00183,EKET,Table,30316,Space-saving furniture with easy assembly.,Ola Wihlborg,67,136,170,"Green, Blue, Grey",True,4.5,353
IKEA00184,TROFAST,TV Unit,5864,Affordable and stylish furniture for everyday use.,Monika Mulder,87,210,122,"Black, Grey, White",True,4.7,467
IKEA00185,MICKE,Desk,38031,Affordable and stylish furniture for everyday use.,Jon Karlsson,41,113,163,"Green, White, Beige",True,4.4,255
IKEA00186,BILLY,Cabinet,29694,Simple design with clean Scandinavian lines.,IKEA Design Team,78,63,161,"Blue, Oak, Grey",True,4.1,349
IKEA00187,TROFAST,Bed,47899,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,52,30,85,"Black, White, Oak",True,4.4,282
IKEA00188,KALLAX,Chair,31436,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,72,76,64,"Blue, Brown, Oak",False,4.7,469
IKEA00189,PAX,Bookshelf,5758,Space-saving furniture with easy assembly.,Ola Wihlborg,37,197,119,"Black, Green, Grey",False,4.1,377
IKEA00190,HEMNES,Sofa,1988,Durable furniture with practical storage space.,Monika Mulder,89,138,166,"Blue, Green, Black",True,3.9,84
IKEA00191,LACK,Desk,48014,Simple design with clean Scandinavian lines.,IKEA Design Team,24,199,137,"White, Black, Blue",True,3.2,22
IKEA00192,EKET,TV Unit,44540,Space-saving furniture with easy assembly.,IKEA Design Team,51,219,41,"Blue, Oak, Black",True,4.5,402
IKEA00193,KALLAX,Table,33522,Durable furniture with practical storage space.,Jon Karlsson,93,111,177,"Beige, Black, Brown",True,5.0,271
