item_id,name,category,price,short_description,designer,depth,height,width,other_colors,sellable_online,rating,reviews_count,content
IKEA00018,TROFAST,Bookshelf,12977,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,75,120,138,"Blue, Oak, Beige",True,4.3,335,Product Name: TROFAST. Category: Bookshelf. Price: 12977. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: IKEA Design Team. Dimensions: 138cm width x 75cm depth x 120cm height.
IKEA00019,BILLY,Sofa,26885,Space-saving furniture with easy assembly.,Henrik Preutz,33,93,79,"Oak, Grey, Green",True,3.8,147,Product Name: BILLY. Category: Sofa. Price: 26885. Description: Space-saving furniture with easy assembly.. Designer: Henrik Preutz. Dimensions: 79cm width x 33cm depth x 93cm height.
IKEA00020,EKET,Desk,5439,Minimalist design suitable for modern homes.,Ola Wihlborg,32,42,196,"White, Green, Black",True,3.8,251,Product Name: EKET. Category: Desk. Price: 5439. Description: Minimalist design suitable for modern homes.. Designer: Ola Wihlborg. Dimensions: 196cm width x 32cm depth x 42cm height.
IKEA00021,HEMNES,Bookshelf,4341,Compact furniture suitable for small apartments.,Monika Mulder,20,129,97,"Green, Brown, Oak",False,3.3,156,Product Name: HEMNES. Category: Bookshelf. Price: 4341. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 97cm width x 20cm depth x 129cm height.
IKEA00022,HEMNES,Sofa,38456,Space-saving furniture with easy assembly.,Ola Wihlborg,27,110,44,"White, Grey, Oak",True,3.1,265,Product Name: HEMNES. Category: Sofa. Price: 38456. Description: Space-saving furniture with easy assembly.. Designer: Ola Wihlborg. Dimensions: 44cm width x 27cm depth x 110cm height.
IKEA00023,BILLY,Table,4989,Affordable and stylish furniture for everyday use.,IKEA Design Team,50,133,60,"Oak, Grey, Blue",True,4.2,219,Product Name: BILLY. Category: Table. Price: 4989. Description: Affordable and stylish furniture for everyday use.. Designer: IKEA Design Team. Dimensions: 60cm width x 50cm depth x 133cm height.
IKEA00024,ALEX,TV Unit,37541,Affordable and stylish furniture for everyday use.,Henrik Preutz,53,82,110,"Oak, Brown, Green",True,4.3,158,Product Name: ALEX. Category: TV Unit. Price: 37541. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 110cm width x 53cm depth x 82cm height.
IKEA00025,EKET,Wardrobe,49773,Modern Scandinavian furniture with a simple and functional design.,IKEA Design Team,78,189,174,"Black, White, Grey",True,4.0,72,Product Name: EKET. Category: Wardrobe. Price: 49773. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: IKEA Design Team. Dimensions: 174cm width x 78cm depth x 189cm height.
IKEA00026,BESTA,Chair,16508,Durable furniture with practical storage space.,Henrik Preutz,40,142,169,"Grey, Green, Beige",True,4.3,288,Product Name: BESTA. Category: Chair. Price: 16508. Description: Durable furniture with practical storage space.. Designer: Henrik Preutz. Dimensions: 169cm width x 40cm depth x 142cm height.
IKEA00027,LACK,Dining Furniture,7287,Compact furniture suitable for small apartments.,Henrik Preutz,34,57,171,"Brown, Green, Blue",True,4.4,109,Product Name: LACK. Category: Dining Furniture. Price: 7287. Description: Compact furniture suitable for small apartments.. Designer: Henrik Preutz. Dimensions: 171cm width x 34cm depth x 57cm height.
IKEA00028,ALEX,Dining Furniture,17799,Affordable and stylish furniture for everyday use.,Monika Mulder,52,43,53,"Blue, Green, Brown",True,3.0,399,Product Name: ALEX. Category: Dining Furniture. Price: 17799. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 53cm width x 52cm depth x 43cm height.
IKEA00029,MALM,Dining Furniture,17666,Compact furniture suitable for small apartments.,Monika Mulder,90,210,139,"White, Green, Blue",True,4.1,432,Product Name: MALM. Category: Dining Furniture. Price: 17666. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 139cm width x 90cm depth x 210cm height.
IKEA00030,BESTA,TV Unit,36709,Compact furniture suitable for small apartments.,Monika Mulder,36,40,108,"Beige, Blue, White",True,3.4,132,Product Name: BESTA. Category: TV Unit. Price: 36709. Description: Compact furniture suitable for small apartments.. Designer: Monika Mulder. Dimensions: 108cm width x 36cm depth x 40cm height.
IKEA00031,ALEX,Chair,23677,Simple design with clean Scandinavian lines.,Ola Wihlborg,72,188,69,"Oak, Blue, Black",True,4.8,17,Product Name: ALEX. Category: Chair. Price: 23677. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 69cm width x 72cm depth x 188cm height.
IKEA00032,MALM,Wardrobe,27481,Simple design with clean Scandinavian lines.,Jon Karlsson,54,70,57,"Blue, Green, White",False,3.4,423,Product Name: MALM. Category: Wardrobe. Price: 27481. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 57cm width x 54cm depth x 70cm height.
IKEA00033,EKET,Wardrobe,20499,Simple design with clean Scandinavian lines.,Jon Karlsson,48,36,198,"Oak, Green, Brown",True,4.7,500,Product Name: EKET. Category: Wardrobe. Price: 20499. Description: Simple design with clean Scandinavian lines.. Designer: Jon Karlsson. Dimensions: 198cm width x 48cm depth x 36cm height.
IKEA00034,TROFAST,Bed,23511,Space-saving furniture with easy assembly.,Ola Wihlborg,71,203,167,"Beige, White, Blue",True,3.4,497,Product Name: TROFAST. Category: Bed. Price: 23511. Description: Space-saving furniture with easy assembly.. Designer: Ola Wihlborg. Dimensions: 167cm width x 71cm depth x 203cm height.
IKEA00035,LACK,Sofa,7603,Affordable and stylish furniture for everyday use.,Monika Mulder,64,216,110,"Blue, Grey, Green",True,3.8,300,Product Name: LACK. Category: Sofa. Price: 7603. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 110cm width x 64cm depth x 216cm height.
IKEA00036,HEMNES,Bed,3407,Space-saving furniture with easy assembly.,Monika Mulder,20,163,167,"Oak, Brown, Green",True,4.9,476,Product Name: HEMNES. Category: Bed. Price: 3407. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 167cm width x 20cm depth x 163cm height.
IKEA00037,BESTA,TV Unit,21071,Space-saving furniture with easy assembly.,IKEA Design Team,58,159,109,"Blue, Brown, Oak",True,4.1,103,Product Name: BESTA. Category: TV Unit. Price: 21071. Description: Space-saving furniture with easy assembly.. Designer: IKEA Design Team. Dimensions: 109cm width x 58cm depth x 159cm height.
IKEA00038,PAX,Dining Furniture,25346,Space-saving furniture with easy assembly.,Jon Karlsson,98,175,107,"Blue, Grey, White",True,3.6,225,Product Name: PAX. Category: Dining Furniture. Price: 25346. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 107cm width x 98cm depth x 175cm height.
IKEA00039,TROFAST,TV Unit,40257,Space-saving furniture with easy assembly.,Henrik Preutz,79,143,143,"Oak, Grey, Green",True,4.3,150,Product Name: TROFAST. Category: TV Unit. Price: 40257. Description: Space-saving furniture with easy assembly.. Designer: Henrik Preutz. Dimensions: 143cm width x 79cm depth x 143cm height.
IKEA00040,MICKE,Dining Furniture,41979,Affordable and stylish furniture for everyday use.,Henrik Preutz,31,90,109,"Oak, Blue, Black",True,3.0,130,Product Name: MICKE. Category: Dining Furniture. Price: 41979. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 109cm width x 31cm depth x 90cm height.
IKEA00041,EKET,TV Unit,5271,Minimalist design suitable for modern homes.,Monika Mulder,100,177,79,"Blue, Oak, Green",True,3.3,357,Product Name: EKET. Category: TV Unit. Price: 5271. Description: Minimalist design suitable for modern homes.. Designer: Monika Mulder. Dimensions: 79cm width x 100cm depth x 177cm height.
IKEA00042,KALLAX,Chair,28361,Compact furniture suitable for small apartments.,Jon Karlsson,86,148,42,"Oak, Blue, White",False,3.3,242,Product Name: KALLAX. Category: Chair. Price: 28361. Description: Compact furniture suitable for small apartments.. Designer: Jon Karlsson. Dimensions: 42cm width x 86cm depth x 148cm height.
IKEA00043,ALEX,Cabinet,37128,Affordable and stylish furniture for everyday use.,Henrik Preutz,76,186,159,"Blue, Green, Grey",False,4.8,385,Product Name: ALEX. Category: Cabinet. Price: 37128. Description: Affordable and stylish furniture for everyday use.. Designer: Henrik Preutz. Dimensions: 159cm width x 76cm depth x 186cm height.
IKEA00044,IVAR,Storage,29994,Durable furniture with practical storage space.,Jon Karlsson,55,163,154,"Oak, Brown, Green",True,4.4,125,Product Name: IVAR. Category: Storage. Price: 29994. Description: Durable furniture with practical storage space.. Designer: Jon Karlsson. Dimensions: 154cm width x 55cm depth x 163cm height.
IKEA00045,LACK,Wardrobe,21451,Affordable and stylish furniture for everyday use.,IKEA Design Team,37,68,89,"Blue, Beige, Black",True,3.1,213,Product Name: LACK. Category: Wardrobe. Price: 21451. Description: Affordable and stylish furniture for everyday use.. Designer: IKEA Design Team. Dimensions: 89cm width x 37cm depth x 68cm height.
IKEA00046,BESTA,Cabinet,31033,Minimalist design suitable for modern homes.,IKEA Design Team,46,137,129,"White, Blue, Grey",False,4.0,487,Product Name: BESTA. Category: Cabinet. Price: 31033. Description: Minimalist design suitable for modern homes.. Designer: IKEA Design Team. Dimensions: 129cm width x 46cm depth x 137cm height.
IKEA00047,BESTA,Bed,49878,Minimalist design suitable for modern homes.,Monika Mulder,88,218,169,"Oak, Green, Black",True,3.9,19,Product Name: BESTA. Category: Bed. Price: 49878. Description: Minimalist design suitable for modern homes.. Designer: Monika Mulder. Dimensions: 169cm width x 88cm depth x 218cm height.
IKEA00048,PAX,Wardrobe,44334,Space-saving furniture with easy assembly.,Monika Mulder,41,149,62,"White, Oak, Grey",True,3.2,224,Product Name: PAX. Category: Wardrobe. Price: 44334. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 62cm width x 41cm depth x 149cm height.
IKEA00049,MALM,Storage,12408,Modern Scandinavian furniture with a simple and functional design.,Henrik Preutz,68,113,84,"Green, Brown, Blue",False,3.6,492,Product Name: MALM. Category: Storage. Price: 12408. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Henrik Preutz. Dimensions: 84cm width x 68cm depth x 113cm height.
IKEA00050,IVAR,Bookshelf,17031,Simple design with clean Scandinavian lines.,IKEA Design Team,80,34,168,"White, Brown, Black",True,4.6,338,Product Name: IVAR. Category: Bookshelf. Price: 17031. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 168cm width x 80cm depth x 34cm height.
IKEA00051,KALLAX,Sofa,16704,Compact furniture suitable for small apartments.,IKEA Design Team,99,69,91,"Brown, Oak, Beige",True,4.1,116,Product Name: KALLAX. Category: Sofa. Price: 16704. Description: Compact furniture suitable for small apartments.. Designer: IKEA Design Team. Dimensions: 91cm width x 99cm depth x 69cm height.
IKEA00052,EKET,Bed,24674,Compact furniture suitable for small apartments.,Ola Wihlborg,97,213,59,"Brown, Green, White",True,4.9,299,Product Name: EKET. Category: Bed. Price: 24674. Description: Compact furniture suitable for small apartments.. Designer: Ola Wihlborg. Dimensions: 59cm width x 97cm depth x 213cm height.
IKEA00053,ALEX,Bookshelf,26494,Space-saving furniture with easy assembly.,Jon Karlsson,29,181,190,"Oak, White, Beige",True,4.7,312,Product Name: ALEX. Category: Bookshelf. Price: 26494. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 190cm width x 29cm depth x 181cm height.
IKEA00054,TROFAST,Chair,37587,Simple design with clean Scandinavian lines.,IKEA Design Team,64,166,139,"Beige, White, Grey",True,3.0,220,Product Name: TROFAST. Category: Chair. Price: 37587. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 139cm width x 64cm depth x 166cm height.
IKEA00055,IVAR,Storage,7415,Minimalist design suitable for modern homes.,Henrik Preutz,78,211,69,"Blue, Black, Beige",True,4.2,475,Product Name: IVAR. Category: Storage. Price: 7415. Description: Minimalist design suitable for modern homes.. Designer: Henrik Preutz. Dimensions: 69cm width x 78cm depth x 211cm height.
IKEA00056,MICKE,Storage,30964,Minimalist design suitable for modern homes.,Ola Wihlborg,54,112,92,"Black, Brown, Oak",True,4.5,296,Product Name: MICKE. Category: Storage. Price: 30964. Description: Minimalist design suitable for modern homes.. Designer: Ola Wihlborg. Dimensions: 92cm width x 54cm depth x 112cm height.
IKEA00057,POANG,Dining Furniture,25336,Durable furniture with practical storage space.,IKEA Design Team,83,113,76,"Green, Black, Brown",True,3.7,455,Product Name: POANG. Category: Dining Furniture. Price: 25336. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 76cm width x 83cm depth x 113cm height.
IKEA00058,POANG,Bed,36923,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,44,51,91,"Blue, Oak, Grey",True,4.4,335,Product Name: POANG. Category: Bed. Price: 36923. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 91cm width x 44cm depth x 51cm height.
IKEA00059,BRIMNES,Storage,29870,Simple design with clean Scandinavian lines.,IKEA Design Team,31,105,86,"Blue, Beige, Black",True,4.3,193,Product Name: BRIMNES. Category: Storage. Price: 29870. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 86cm width x 31cm depth x 105cm height.
IKEA00060,EKET,Cabinet,35293,Durable furniture with practical storage space.,Monika Mulder,90,114,120,"Green, Brown, Blue",True,3.5,374,Product Name: EKET. Category: Cabinet. Price: 35293. Description: Durable furniture with practical storage space.. Designer: Monika Mulder. Dimensions: 120cm width x 90cm depth x 114cm height.
IKEA00061,HEMNES,Wardrobe,8334,Space-saving furniture with easy assembly.,Ola Wihlborg,43,79,85,"Green, Brown, Beige",True,5.0,431,Product Name: HEMNES. Category: Wardrobe. Price: 8334. Description: Space-saving furniture with easy assembly.. Designer: Ola Wihlborg. Dimensions: 85cm width x 43cm depth x 79cm height.
IKEA00062,HEMNES,Bed,15407,Durable furniture with practical storage space.,Jon Karlsson,58,33,166,"Brown, Green, White",True,4.1,362,Product Name: HEMNES. Category: Bed. Price: 15407. Description: Durable furniture with practical storage space.. Designer: Jon Karlsson. Dimensions: 166cm width x 58cm depth x 33cm height.
IKEA00063,MALM,Dining Furniture,49833,Minimalist design suitable for modern homes.,IKEA Design Team,21,176,102,"Green, Oak, Blue",True,3.4,31,Product Name: MALM. Category: Dining Furniture. Price: 49833. Description: Minimalist design suitable for modern homes.. Designer: IKEA Design Team. Dimensions: 102cm width x 21cm depth x 176cm height.
IKEA00064,LACK,Storage,7975,Simple design with clean Scandinavian lines.,IKEA Design Team,71,155,48,"White, Black, Blue",True,3.2,132,Product Name: LACK. Category: Storage. Price: 7975. Description: Simple design with clean Scandinavian lines.. Designer: IKEA Design Team. Dimensions: 48cm width x 71cm depth x 155cm height.
IKEA00065,BILLY,Cabinet,27773,Affordable and stylish furniture for everyday use.,Ola Wihlborg,99,87,163,"Blue, Oak, Green",True,4.7,224,Product Name: BILLY. Category: Cabinet. Price: 27773. Description: Affordable and stylish furniture for everyday use.. Designer: Ola Wihlborg. Dimensions: 163cm width x 99cm depth x 87cm height.
IKEA00066,LACK,TV Unit,41198,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,32,83,190,"Oak, Brown, Beige",True,3.3,93,Product Name: LACK. Category: TV Unit. Price: 41198. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 190cm width x 32cm depth x 83cm height.
IKEA00067,MICKE,Chair,10757,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,77,206,182,"Green, Brown, White",True,3.6,149,Product Name: MICKE. Category: Chair. Price: 10757. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Monika Mulder. Dimensions: 182cm width x 77cm depth x 206cm height.
IKEA00068,BRIMNES,Storage,5163,Space-saving furniture with easy assembly.,Jon Karlsson,53,190,180,"Oak, Green, White",True,4.3,470,Product Name: BRIMNES. Category: Storage. Price: 5163. Description: Space-saving furniture with easy assembly.. Designer: Jon Karlsson. Dimensions: 180cm width x 53cm depth x 190cm height.
IKEA00069,LACK,Table,5178,Modern Scandinavian furniture with a simple and functional design.,Jon Karlsson,59,182,175,"Grey, Oak, White",False,4.4,363,Product Name: LACK. Category: Table. Price: 5178. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Jon Karlsson. Dimensions: 175cm width x 59cm depth x 182cm height.
IKEA00070,PAX,Bed,33297,Affordable and stylish furniture for everyday use.,Monika Mulder,76,50,183,"White, Oak, Beige",True,4.2,18,Product Name: PAX. Category: Bed. Price: 33297. Description: Affordable and stylish furniture for everyday use.. Designer: Monika Mulder. Dimensions: 183cm width x 76cm depth x 50cm height.
IKEA00071,BILLY,Desk,44689,Simple design with clean Scandinavian lines.,Ola Wihlborg,95,35,98,"White, Blue, Black",False,4.0,231,Product Name: BILLY. Category: Desk. Price: 44689. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 98cm width x 95cm depth x 35cm height.
IKEA00072,LACK,Table,38859,Minimalist design suitable for modern homes.,Monika Mulder,31,150,119,"Blue, Brown, Green",True,4.7,173,Product Name: LACK. Category: Table. Price: 38859. Description: Minimalist design suitable for modern homes.. Designer: Monika Mulder. Dimensions: 119cm width x 31cm depth x 150cm height.
IKEA00073,PAX,Storage,19387,Space-saving furniture with easy assembly.,Monika Mulder,90,39,146,"Black, Brown, Blue",True,3.2,400,Product Name: PAX. Category: Storage. Price: 19387. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 146cm width x 90cm depth x 39cm height.
IKEA00074,PAX,Cabinet,574,Space-saving furniture with easy assembly.,Ola Wihlborg,79,135,43,"Oak, Grey, Brown",False,4.3,394,Product Name: PAX. Category: Cabinet. Price: 574. Description: Space-saving furniture with easy assembly.. Designer: Ola Wihlborg. Dimensions: 43cm width x 79cm depth x 135cm height.
IKEA00075,KALLAX,Desk,18000,Affordable and stylish furniture for everyday use.,Jon Karlsson,56,142,154,"Black, White, Beige",True,4.4,164,Product Name: KALLAX. Category: Desk. Price: 18000. Description: Affordable and stylish furniture for everyday use.. Designer: Jon Karlsson. Dimensions: 154cm width x 56cm depth x 142cm height.
IKEA00076,MICKE,Sofa,36691,Minimalist design suitable for modern homes.,IKEA Design Team,48,59,148,"Black, Beige, Green",False,4.9,154,Product Name: MICKE. Category: Sofa. Price: 36691. Description: Minimalist design suitable for modern homes.. Designer: IKEA Design Team. Dimensions: 148cm width x 48cm depth x 59cm height.
IKEA00077,MICKE,Bed,27728,Simple design with clean Scandinavian lines.,Monika Mulder,80,92,146,"Brown, Oak, Black",True,4.7,146,Product Name: MICKE. Category: Bed. Price: 27728. Description: Simple design with clean Scandinavian lines.. Designer: Monika Mulder. Dimensions: 146cm width x 80cm depth x 92cm height.
IKEA00078,TROFAST,Bookshelf,22773,Simple design with clean Scandinavian lines.,Ola Wihlborg,54,30,102,"Grey, Blue, Green",False,4.7,233,Product Name: TROFAST. Category: Bookshelf. Price: 22773. Description: Simple design with clean Scandinavian lines.. Designer: Ola Wihlborg. Dimensions: 102cm width x 54cm depth x 30cm height.
IKEA00079,MICKE,Storage,23117,Durable furniture with practical storage space.,Ola Wihlborg,89,126,146,"Beige, Blue, Black",True,4.1,124,Product Name: MICKE. Category: Storage. Price: 23117. Description: Durable furniture with practical storage space.. Designer: Ola Wihlborg. Dimensions: 146cm width x 89cm depth x 126cm height.
IKEA00080,IVAR,Bookshelf,3359,Durable furniture with practical storage space.,Monika Mulder,68,128,199,"Brown, Oak, White",True,4.0,307,Product Name: IVAR. Category: Bookshelf. Price: 3359. Description: Durable furniture with practical storage space.. Designer: Monika Mulder. Dimensions: 199cm width x 68cm depth x 128cm height.
IKEA00081,BESTA,Chair,29354,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,78,33,66,"Blue, Green, Beige",True,3.1,405,Product Name: BESTA. Category: Chair. Price: 29354. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 66cm width x 78cm depth x 33cm height.
IKEA00082,LACK,Wardrobe,41344,Space-saving furniture with easy assembly.,Monika Mulder,30,114,166,"Blue, Brown, Beige",False,4.7,23,Product Name: LACK. Category: Wardrobe. Price: 41344. Description: Space-saving furniture with easy assembly.. Designer: Monika Mulder. Dimensions: 166cm width x 30cm depth x 114cm height.
IKEA00083,POANG,Chair,15884,Space-saving furniture with easy assembly.,Henrik Preutz,49,53,141,"Black, Blue, Beige",True,3.9,360,Product Name: POANG. Category: Chair. Price: 15884. Description: Space-saving furniture with easy assembly.. Designer: Henrik Preutz. Dimensions: 141cm width x 49cm depth x 53cm height.
IKEA00084,LACK,Sofa,3513,Durable furniture with practical storage space.,IKEA Design Team,57,121,125,"Blue, Black, Green",False,4.1,410,Product Name: LACK. Category: Sofa. Price: 3513. Description: Durable furniture with practical storage space.. Designer: IKEA Design Team. Dimensions: 125cm width x 57cm depth x 121cm height.
IKEA00085,MALM,Table,11972,Modern Scandinavian furniture with a simple and functional design.,Ola Wihlborg,68,188,91,"Green, Grey, Black",True,3.9,135,Product Name: MALM. Category: Table. Price: 11972. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Ola Wihlborg. Dimensions: 91cm width x 68cm depth x 188cm height.
IKEA00086,EKET,Bed,44201,Modern Scandinavian furniture with a simple and functional design.,Monika Mulder,56,203,169,"Brown, White, Oak",True,5.0,158,Product Name: EKET. Category: Bed. Price: 44201. Description: Modern Scandinavian furniture with a simple and functional design.. Designer: Monika Mulder. Dimensions: 169cm width x 56cm depth x 203cm height.
IKEA00087,ALEX,Bookshelf,45739,Durable furniture with practical storage space.,Monika Mulder,58,80,128,"Green, White, Black",False,4.1,299,Product Name: ALEX. Category: Bookshelf. Price: 45739. Description: Durable furniture with practical storage space.. Designer: Monika Mulder. Dimensions: 128cm width x 58cm depth x 80cm height.
IKEA00088,LACK,Bed,1936,Simple design with clean Scandinavian lines.,Monika Mulder,55,32,174,"White, Grey, Beige",False,4.7,467,Product Name: LACK. Category: Bed. Price: 1936. Description: Simple design with clean Scandinavian lines.. Designer: Monika Mulder. Dimensions: 174cm width x 55cm depth x 32cm height.
IKEA00089,LACK,Desk,40283,Simple design with clean Scandinavian lines.,Henrik Preutz,48,192,78,"Grey, Beige, Blue",True,4.3,467,Product Name: LACK. Category: Desk. Price: 40283. Description: Simple design with clean Scandinavian lines.. Designer: Henrik Preutz. Dimensions: 78cm width x 48cm depth x 192cm height.
